Item,pic,correct,part,partimg,condition,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
10,images/13,d,None,None,cognitive,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,74.45132439862937,None,-0.27037037037037037,-0.387037037037037,1,0,0,1.3915086286142468,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
11,images/14,c,None,None,physical,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,75.85131278587505,None,0.3990740740740741,-0.3685185185185185,1,0,0,1.7585577126592398,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
12,images/15,a,None,None,affect,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,77.61771506862715,None,-0.3333333333333333,0.1962962962962963,1,0,0,1.6900594383478165,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
13,images/16,b,None,None,affect,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,79.31746368855238,None,0.32685185185185184,0.16574074074074074,1,0,0,1.457237099763006,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
14,images/17,b,None,None,cognitive,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,80.78417535265908,None,0.35555555555555557,0.14444444444444443,1,0,0,2.6904597990214825,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
15,images/18,d,None,None,physical,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,83.48387200245634,None,-0.3990740740740741,-0.4305555555555556,1,0,0,1.5580747774802148,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
16,images/19,b,None,None,physical,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,85.05039670364931,None,0.5203703703703704,0.2074074074074074,1,0,0,2.426385896746069,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
17,images/20,c,None,None,affect,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,87.50060759903863,None,0.4361111111111111,-0.43148148148148147,1,0,0,2.2605396271683276,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
18,images/21,b,None,None,physical,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,89.76698357611895,None,0.5009259259259259,0.12685185185185185,1,0,0,1.8251180229708552,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
19,images/22,a,None,None,physical,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,91.61680174572393,None,-0.31574074074074077,0.03148148148148148,1,0,0,1.5269646872766316,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
20,images/23,d,None,None,affect,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,93.16676889546216,None,-0.3648148148148148,-0.35185185185185186,1,0,0,1.506049683317542,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
21,images/24,d,None,None,cognitive,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,94.68279936909676,None,-0.3277777777777778,-0.33240740740740743,1,0,0,2.527396807447076,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
22,images/25,a,None,None,cognitive,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,97.2328733461909,None,-0.3472222222222222,0.14351851851851852,1,0,0,2.228909838013351,a,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
23,images/26,b,None,None,affect,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,99.48265584232286,None,0.3990740740740741,0.17592592592592593,1,0,0,1.1935087009333074,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
24,images/27,d,None,None,cognitive,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,100.6826062463224,None,-0.30462962962962964,-0.35185185185185186,1,0,0,1.4254350396804512,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
2,images/5,a,b,images/28,physical,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
25,images/29,b,None,None,affect,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,103.28242505760863,None,0.43425925925925923,0.15555555555555556,1,0,0,3.726793507579714,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
26,images/30,b,None,None,affect,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,107.0318864309229,None,0.43425925925925923,0.15185185185185185,1,0,0,3.858779130037874,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
27,images/31,d,None,None,affect,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,110.91481841960922,None,-0.4638888888888889,-0.25462962962962965,1,0,0,2.5940578496083617,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
28,images/32,b,None,None,affect,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,113.53116270154715,None,0.4324074074074074,0.05555555555555555,1,0,0,3.6599165657535195,b,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
29,images/33,c,None,None,affect,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,117.21411252720281,None,0.4537037037037037,-0.3425925925925926,1,0,0,4.594925939571112,c,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
30,images/34,d,None,None,affect,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,121.83046996220946,None,-0.40555555555555556,-0.2824074074074074,1,0,0,2.2707481873221695,d,020,001,2021_Feb_22_1457,untitled,2020.2.10,59.995765817223244,
