Item,pic,correct,part,partimg,parta.thisRepN,parta.thisTrialN,parta.thisN,parta.thisIndex,trialsA.thisRepN,trialsA.thisTrialN,trialsA.thisN,trialsA.thisIndex,partb.thisRepN,partb.thisTrialN,partb.thisN,partb.thisIndex,trialB.thisRepN,trialB.thisTrialN,trialB.thisN,trialB.thisIndex,partc.thisRepN,partc.thisTrialN,partc.thisN,partc.thisIndex,trialC.thisRepN,trialC.thisTrialN,trialC.thisN,trialC.thisIndex,textboxsubjectid.text,image_2.started,image_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
84,images/89,c,None,None,,,,,,,,,,,,,,,,,,,,,0,27,27,27,,76.83425416699902,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.14452358399285004,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
85,images/90,b,None,None,,,,,,,,,,,,,,,,,,,,,0,28,28,28,,76.98505987500539,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.19287187499867287,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
86,images/91,c,None,None,,,,,,,,,,,,,,,,,,,,,0,29,29,29,,77.18479858300998,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.11016837500210386,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
87,images/92,d,None,None,,,,,,,,,,,,,,,,,,,,,0,30,30,30,,77.30141570800333,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.24323633300082292,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
88,images/93,b,None,None,,,,,,,,,,,,,,,,,,,,,0,31,31,31,,77.55136508301075,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.3106145409983583,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
89,images/94,a,None,None,,,,,,,,,,,,,,,,,,,,,0,32,32,32,,77.86868108299677,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.19285320800554473,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
90,images/95,b,None,None,,,,,,,,,,,,,,,,,,,,,0,33,33,33,,78.06764558301074,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.3108833330043126,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
91,images/96,c,None,None,,,,,,,,,,,,,,,,,,,,,0,34,34,34,,78.38595241701114,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.14235824999923352,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
92,images/97,c,None,None,,,,,,,,,,,,,,,,,,,,,0,35,35,35,,78.53463824999926,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.1597311249934137,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
93,images/98,a,None,None,,,,,,,,,,,,,,,,,,,,,0,36,36,36,,78.70069216701086,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.14433287498832215,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
94,images/99,b,None,None,,,,,,,,,,,,,,,,,,,,,0,37,37,37,,78.85138858300343,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.19366824999451637,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
95,images/100,d,None,None,,,,,,,,,,,,,,,,,,,,,0,38,38,38,,79.05141979199834,None,-0.2833333333333333,-0.01888888888888889,1,0,0,0.14341541699832305,a,777,001,2020_Dec_30_1638,untitled,2020.2.10,59.98062625857886,
